,question,target
10717,Printing a huge document,0
7009,Optimization of Signal Peptides,0
10173,"Script to calculate width, and either resize, show, or hide HTML menu",0
4060,"If $f$ is a uniformly continous function, then $|f(x)|\leq a|x|+b$",1
1815,Show that every linear transformation $\mathbb R^{n}$ ->$\mathbb R^{m}$ transforms linear dependent vectors into linear dependent vectors,1
9578,Liveupdate phone number forms and test for international numbers,0
4258,Differentiable functions $f'(x)=f(-x)^4f(x)$,1
11398,Splitting a command line into key/value pairs,0
7458,"What kind of fish is this (Florida, USA)?",0
6835,Is there a definition of species where Lions and Tigers are the same species?,0
1085,Topological properties and product product topology,1
4416,Angles of triangle $\triangle XYZ$ do not depend on the position of point $P$ (proof needed),1
2466,Exponential and Logarithmic Functions $\log_3 (x+7) - \log_3 (x-7) = 3$,1
7808,what do I need to use for protein protein interaction network,0
1750,Factorization of Symmetric Matrix,1
1072,"Let $|A|=0.$ Show that there exists a positive number $\delta$ such that $|A+\epsilon I| \neq 0$ for any $\epsilon \in (0,\delta).$",1
10576,Dynamically create a table of input fields,0
5916,Euler function - all values of n give $\phi(n)=10$,1
8005,Short videos on evolutionary biology,0
11944,Graph problem known to be $NP$-complete only under Cook reduction,0
2370,Extending Morse-Smale pair from submanifolds?,1
10275,Randomized and deterministic reduction,0
11488,"Hover effects for red, blue, and green boxes",0
11129,What would be the best way to update data from associative array?,0
2710,prove thatt $\sum_{cyc} \frac{1}{{(x+y)}^2}\ge 9/4$,1
9811,Adding/removing map values: unsymmetric implementation,0
961,Difference between supremum and upper bounds and between infimum and lower bounds,1
9564,Roughly removing 'duplicate' photos based on filename,0
6465,Gene Circuits; experiments,0
4557,Proving Metrizability is a topological property,1
1725,base change of a reduced scheme over $\mathbb{Z}$,1
4342,Definition of vertex decomposable,1
4742,Trigonometry proof- finding an angle,1
4770,Find a eigenvalues of matrix $A$ without using characteristic polynomial,1
3848,Integral $\oint_{\gamma}\frac {\cos z}{z}dz$ on 2 curves,1
3742,differentiability of a function consisting of a bilinear form,1
2268,Why do people lose in chess?,1
9088,Encrypting/decrypting messages in java,0
5669,What are the $393$ trillion possible answers when computing $13^{th}$ root of a number?,1
8592,Alternatives to fittest-win and Moran processes as simple mathematical models of selection,0
8425,How to linearize target vector by PCR,0
10529,Simple text DataBase,0
8432,Shouldn't evolution have taken care of baldness already?,0
11174,Assigning database credentials,0
9352,"How to prove the optimality of the ""patience sort"" algorithm?",0
7456,Why don't we have more cone cells (bigger fovea)?,0
10246,Handling pagination on a particular page,0
10204,Procedural style Rock Paper Scissors game using Python 3,0
1558,Functions whose limit at infinity is zero are closed,1
1160,Solving the logarithimic inequality $\log_2\frac{x}{2} + \frac{\log_2x^2}{\log_2\frac{2}{x} } \leq 1$,1
430,Prove that $B ⊆ A^c ⇔ A ∩ B = ∅$,1
8013,Text Book Recommendation: Organic Evolution,0
2215,indefinite integral of $\int \frac{dx}{\sqrt{(x)(x+1)(x+2)}}$,1
11894,Applying Akra–Bazzi with an unbounded number of summands,0
5726,Prove a function is not of Class $C^1$,1
9789,How to turing reduce equivalent languages $Q$ to infinite language $I$,0
2873,Evaluate $x+4/x$ when $x$ is a solution of $x-6/\sqrt{x}=11$,1
9810,Calculate mean of vector primitive numerical values generically,0
3712,Can't figure out how $\sin\left(\tan^{-1}(x)\right)=\frac{x}{\sqrt {x^2+1}}$,1
10220,Need of reducing problems if we already know that a problem is undecidable,0
6518,Propensity Score for amino acid,0
5035,Show continuity using the difference quotient.,1
10266,Does every large enough string have repeats?,0
6868,What diurnal red & black moth is this?,0
10782,Why Does The Division Alorithim Need [Register Size] + 1 Iterations,0
9312,Write a function to print numbers,0
11467,Peak finding algorithm,0
1147,First order logic: finding and proving homomorphisms,1
7394,Why do rabbits often have white hindquarters?,0
2959,Find a closed formula for the number of regions in a graph,1
266,"If $\{u_1,...,u_n,v_1,...,v_k\}$ is a basis does it necessarily follow that $\{u_1,...,u_n\}$ is linearly independent?",1
7477,Where might I find a list of all recorded instincts by species?,0
2202,Find the volume of the solid interior to both $x^2 + y^2 + z^2 = 4$ and $(x-1)^2 + y^2 = 1$?,1
10626,Converting numbers to English words,0
10864,Partition overlapping polygons,0
8740,new DNA sequencing technologies?,0
7421,What's the meaning of this notation?,0
11384,Find the smallest triangular number with more than 500 factors,0
8297,(Genetics) Is a silencer the same as gene silencing (heterochromatin)?,0
1313,"If $f (t) = |t - 2|$, find $f (-t)$",1
2843,Eigenvectors of the companion matrix,1
7096,What effect does ambient temperature have on the cardiovascular system?,0
358,"Let $v_1, \ldots, v_r$ be non-zero elements of a vector space such that $\langle v_i, v_j \rangle = 0$ if $i \neq j$. Show that they are independent",1
3762,Absolute Determinant: Geometric Argument,1
4874,"If $X \sim N(0,1)$, why is $E(X^2)=1$?",1
10317,Loop termination check for multiple types of host reachability tests,0
11527,Minimum edge weight k-exact cover with triangle inequality,0
3572,Proving an implication in a linear regression,1
6792,Dawn simulation - does color change affect waking up?,0
5612,Obtuse-angled Triangle Repeated,1
2502,Conics and path of orbit question,1
11970,What kind of runtime behavior should we expect of Finite Element Methods?,0
4110,Arcsine law for Brownian motion,1
11137,Regularity of a language constructed from a know regular language,0
1444,partial differentiation or total differentiation?,1
10750,Normal Order Reduction - is Leftmost Outermost order simply Leftmost?,0
19,Action of a 1-form on the push-forward and pull-back of a vector,1
1010,Path connected compact set with given property,1
11214,Simple decision tree in Haskell,0
1746,Proof that eigenvector corresponding to simple eigenvalue is continuous,1
4827,Calculate the inverse of a matrix of variable size,1
6738,Why does V. cholerae produce a human specific choleragen?,0
10851,Pumping lemma for an involved non context free language,0
2337,How to prove this equality about Eulerian numbers?,1
8299,What is the relationship between migraines and histamine?,0
11452,Invoking subscribers of an action in parallel c#,0
3606,The proof of Hadamard' Lemma,1
11800,Random Prime generator,0
6866,Manipulating phylogenetic trees,0
5921,calculating the Taylor series remainder of $\ln(2)$,1
6532,Can suppression of the immune system help cure chronic diseases?,0
8610,Rampant low Vitamin D,0
4860,Integral Curves of Parallel Vector Field,1
1448,H-polar decomposition,1
9211,How is n-gram different from k-mer?,0
5961,Proving that $\{x|\varphi_x \; \text{is extendible to a total computable function} \} \neq \omega$,1
8819,Location of genes encoding ribosomal proteins,0
4724,Finding values of quotient and remainders for Gaussian integers.,1
3227,Proof of $\sum\limits_{n=1}^{\infty} \frac{x^n \log(n!)}{n!} \sim x \log(x) e^x$ as $x \to \infty$,1
7387,Troubleshooting bioconjugates migration in a SDS-PAGE gel?,0
2558,Why do we choose the limits for double integrals in this way?,1
10787,"CISC, RISC and anything else?",0
945,Proof using the Principle of Mathematical Induction,1
11880,Text file manipulation with Java 8 and Guava,0
7237,What exactly are computers used for in DNA sequencing?,0
4841,How to efficiently calculate $ax+b$ once I know $a$ and $b$?,1
1188,Proving that the axioms for addition hold in $R$ -- Associativity. Principles of Mathematical Analysis by Walter Rudin.,1
5180,Matrix exponential of a skew-symmetric Toeplitz matrix,1
4956,$[U \cap H : G \cap H] \le [U :G]$,1
4881,Addition of two algebraic integer numbers,1
158,Slater's condition for closedness of the linear image of a closed convex cone,1
1942,"How find this value if such $f[f(x,y),z]=f(z,xy)+z,x,y,z\in R$",1
11341,Python implementation of netcat,0
9253,What are some problems which are easily solved by human brain but which would take more time computers?,0
4569,Pullback square with two identical sides,1
2197,How do I show this integral surface area relationship?,1
6267,"How does ""be altruist to those who are similar to you"" evolve?",0
910,Show that $\mathbb{E}[h(x)^{2}-2h(x)y+y^{2}]=\mathbb{E}[h(x)^{2}-2h(x)\mathbb{E}[y|x]+\mathbb{E}[y^{2}|x]]$,1
