question,fact
When did Virgin Australia start operating?,1
Which is a species of fish? Tope or Rope,1
Why can camels survive for long without water?,1
"Alice's parents have three daughters: Amy, Jessy, and what’s the name of the third daughter?",1
When was Tomoaki Komorida born?,1
"If I have more pieces at the time of stalemate, have I won?",1
"Given a reference text about Lollapalooza, where does it take place, who started it and what is it?",1
Who gave the UN the land in NY to build their HQ,1
Why mobile is bad for human,1
Who was John Moses Browning?,1
Who is Thomas Jefferson?,1
Who was Kyle Van Zyl playing against when he scored 36 of hisa teams 61 points?,1
From the passage list down the areas for which Dar es Salaam is Tanzania's most prominent city. List the results in comma separated format.,1
What is a polygon?,1
Which episodes of season four of Game of Thrones did Michelle MacLaren direct?,1
What is process mining?,1
What are some unique curtain tie backs that you can make yourself?,1
What is a dispersive prism?,1
"Identify which instrument is string or percussion: Cantaro, Gudok",1
What individual has won the most Olympic gold medals in the history of the games?,1
Which Dutch artist painted “Girl with a Pearl Earring”?,1
What happens when the sun goes down?,1
What is a verb?,1
Extract the owner of Lamborghini and a listing of the different types of Huracan cars that Lamborghini has produced for its Motorsport division.,1
"Which of the following is useful for transportation: a glass of wine, a lamp, a train, an iced cube tray, a plane, a bicycle, an apple and a scooter.",1
"Identify which instrument is string or woodwind: Panduri, Zurna",1
What is the average lifespan of a Golden Retriever?,1
Who became king of Holland in 1806?,1
What is best Playstation or Xbox,0
Who played Billy the Kid in The Left Handed Gun,1
why did Syd Barrett left the Pink Floyd?,1
what is REST API,1
What is underwriting?,1
Give me a list of some characteristics of a good coffee shop?,0
Please summarize what Linkedin does.,1
Who saved Andromeda from the sea monster,1
How can I contribute to Spark?,0
"Who are ''The Lumières"" ?",1
Using examples taken from the text give me a summary of the main arguments in favour of slavery reparations in the United States and the anticipated cost of enacting such reparations,1
When was the wheel invented?,1
write a scene between two actors discussing movie Inception,0
Did dinosaurs have lips?,1
Are lilies safe for cats?,1
What is Sunshine Recession?,1
What is the currency in use in the Netherlands?,1
What is the best tv series in the world,0
Who was the first to record the Needles and Pins song?,1
Provide me a list of the different types of harnesses used in rock climbing,1
"In the series A Song of Ice and Fire, who is the founder of House Karstark?",1
What is enriched air and why would divers dive with enriched air?,1
What film won the 1943 Oscar as best film,0
"which weighs more, cold or hot water?",1
"Given this paragraph, what is the top speed of a Kia Stinger?",1
Write a short paragraph about why you should not have both a pet cat and a pet bird.,0
What is your favorite strip from the comic Calvin and Hobbes?,0
What makes a formula one car so fast?,1
Without quoting directly from the text give me a summary of the history of the Key Lime Pie.,1
What is LAPR?,1
"Identify which instrument is string or percussion: Kpanlogo, Shamisen",1
Why do potato chip bags become stale after opening?,1
Classify each of the following as a primary color or a secondary color,1
Where are the British Virgin Islands (BVI) and which islands are a part of the BVI?,1
"Does ""outbreeding"" or ""inbreeding"" benefit the offspring more?",1
What is the future for human?,1
Name some of the bravolebrities from Vanderpump Rules,1
Name some famous rock bands from the 1960s,1
Who is Muhammad Ejaz Shafi,1
Who invented the telephone?,1
Who are the Smiths?,1
How many Grammy Awards has Bad Bunny won?,1
When was the first Reading railway station opened?,1
What is HiFI?,1
What is a brown eared pheasant?,1
"Which of these are rappers? Eminem, Michael Jackson, Rihanna, 50 Cent",1
Is it true that Lewis Hamilton won the championship in his first F1 season?,1
What are some kinds of embroidery stitches for writing letters?,1
What are the most common injuries in rowing?,1
What is a kite?,1
"Classify each of the following pieces of equipment according to the sport they are used for, either basketball, football, or soccer: shin guards, shooting sleeve, penalty flag, corner flag, kicking tee, and goalie gloves.",1
"Given this paragraph about Billie Eilish, tell me who produced her debut single, also tell me what is her chart-topping single?",1
What is a good way to get around without a car?,0
"Identify which animal species is alive or extinct: Palaeophis, Giant Tortoise",1
"Why is Santa Cruz, California a great place to live?",1
Give me some ideas to manage my manager.,0
Who was boxer John Baldwin,1
"Identify which instrument is string or percussion: Samphor, Viola toeria",1
"If we were playing a game where we had to identify things that can be found inside a house, which of these would we call out: car, chair, table, park, cloud, microwave.",1
"Classify the following as either dark-colored beers or light colored beers: porter, pilsner, stout, amber, lager",1
Extract all of the dates mentioned in this paragraph and list them using bullets in the format {Date} - {Description},1
Which products apple sell?,1
Write a short story about a person who discovers a hidden room in their house. The story should include a plot twist and a clear resolution at the end.,0
Please describe  what is oil and give me a list of it’s applications.,1
What is investment banking?,1
Tell me whether or not these foods are on EWG's dirty dozen list,1
How much music theory knowledge is required to compose music?,0
"Categorize each of the following instruments as either string or keyboard: Guitar, Violin, piano, harmonium, cello, accordion, banjo",1
Summarize in one sentence this article about a famous song.,1
What is the Maareech Advanced Torpedo Defence System (ATDS)?,1
Change the following passage to past tense,1
What is the tallest mountain in the continental US?,1
Who is Shoji Hashimoto?,1
What are some of the best comedy movies of the 1980's?,0
In golf what do the Americans call an albatross,1
What are common ingredients of a full english breakfast?,1
"Plan for a three day road trip for May long weekend from Westfield, New Jersey",0
What is the Research Collaboratory for Structural Bioinformatics Protein Data Bank (RCSB PDB)?,1
What are 5 potential uses for an empty La Croix can?,1
"What is the name of the Winslow's nerdy next-door neighbor on the TV show ""Family Matters""?",1
Why are so many US Hollywood films made in the state of Georgia?,1
How many managers have Arsenal had?,1
What is SVM?,1
What is the current capital of Japan?,1
What are some tools that every homeowner should have?,0
What is an apple?,1
write a short essay on California wild fire,0
Tell me about the 2017 Southeastern Conference football season,1
Who scored first in Austin FC's first victory in a home game in the 2021 MLS season?,1
"Classify each of the following as either a bird, animal, reptile or insect: tiger, heron, eagle, alligator, snake, spider, ant, dog, cat, rhinoceros, kingfisher, chameleon, hornet, butterfly",1
What are some different things you should bring with you on a day hiking trip?,0
How long does it take for a mustard seed to germinate?,1
Which is a species of fish? Sea dragon or Red bearded,1
"Categorize where each of these household items belong: bed, couch, desk",1
"Separate the following suburbs into those that border, and do not border, the Brisbane River: Indooroopilly, Bulimba, St Lucia, Newstead, Wilston, West End, Toowong, Bowen Hills and, Wooloongabba.",1
What are AirPods?,1
What is the difference between pets and cattle?,1
How do I put a bouquet of fresh flowers in a vase?,1
What should I do on a free afternoon in San Francisco?,0
"Identify which instrument is string or woodwind: Janzi, Gemshorn",1
"Identify which animal species is alive or extinct: Pliosaur, Marine Iguana",1
What is the origin of the name of the herb Rosemary?,1
"Classify each of the following as either a title by Isaac Asimov or Jules Verne: Pebble in the Sky, The Stars, Like Dust, Foundation, The Robots of Dawn, The Naked Sun, Around the World in Eighty Days, From the Earth to the Moon, Martin Paz, Journey to the Centre of the Earth, A Drama in the Air",1
Wat id DNA annotation?,1
Who were Jaehaerys I Targaryen's children?,1
"In SQL, how can I filter table rows based on a column condition?",0
Who were the ten best baseball players in the history of the Boston Red Sox?,0
What makes the world go around?,1
"Who coined the phrase ""Bike-shedding"" and when?",1
Who is the best Formula 1 driver,0
What is Share capital in finance?,1
Give me some Mother's Day gift ideas.,0
What are the types of RVs?,1
List the weapons of Goddess Durga in a comma separated manner.,1
What shapes are made up of straight lines?,1
"Choose the word which is different from the rest: hangar, platform, dock, park, bus stand",1
Are The Smiths a good band?,0
What is an EV?,1
"Given a reference text about Run Towards the Danger, tell me how many essays are part of the collection.",1
Name 10 colors,1
What is game of Cricket?,1
How much of American wine is produced in California?,1
"As a golfer, how can I fix my slice?",0
Who tends to participates in hackathons?,1
Which community of users on Twitter has the most 8-dollar-a-month verification?,1
"Tell me whether these people are DJs or singers: David Guetta, Avicii, Rihanna, Beyonce, Martin Garrix, Calvin Harris, Taylor Swift",1
What’s a typical dish in Brazil?,1
How should I invest my money?,0
Where is the village of Congosto,1
Name the three best professional sports teams based in California.,0
What is Marketing Automation?,1
What are some ways to improve the value of your home?,0
Tell me an idea for a film based off of the cartoon movie Cars but incorporate self-driving cars.,0
Which American president spoke Dutch as their first language?,1
How many planets are there?,1
Help me come up with 3 ideas for a new business and how I can start it,0
Tomb of Sand  was translated from Hindi to English by,1
"What is more important in society, freedom or safety?",1
"Given this reference text about the consumption of peanut butter, when is national peanut butter day?",1
What are good activities for two year old boys?,0
How many compute services does Azure Synapse have?,1
What does fasting mean?,1
How many times Lewis Hamilton won the F1 Championship ?,1
What happens when you bring flammable objects closer to a fire source or extreme heat?,1
"Identify which instrument is string or percussion: Den-den daiko, Luc huyen cam",1
"Pick if these would be useful or not useful for a high school student to put in their backpack. Notebooks, textbook, desk lamp, pencil pouch, beach ball, pillow, laptop.",1
