,question,target
10717,How to make Map expendible(?) safely in java,0
7009,Experimental Analysis: What are possible reasons for this increase in N₂O production?,0
10173,Complexity of ODD-SMALLER-SAT,0
4060,How to express this sequence $a_n$ in math notation?,1
1815,Are $\mathbb{ Z}[\sqrt{-17}]$ or $\mathbb{Z}[\sqrt{10}]$ factorial rings?,1
9578,Modified Fibonacci Implementation,0
4258,"Sketch the region, the solid, and a typical disk/washer/shell (your choice)",1
11398,Search in a sorted array (Binary search),0
7458,Why can DNA tests with mixed DNA of several people not be used to detect a criminal in a database?,0
6835,Why do we urinate more often in winter compaired to summer?,0
1085,Multiplying non-decreasing sequences,1
4416,"Implications of the order of subgroups, given the order of the parent is a composite number",1
2466,Taylor Series of $f(x) = e^x$ centered at $a = 3$,1
7808,How to Download the broadpeak files from the encode chip-seq experiment matrix?,0
1750,Permutation and Combination in probability question - Choose team members,1
1072,How to transform a continued fraction so that all denominators are positive?,1
10576,Generating intermediate code,0
5916,The matrix $J$(all of whose entries are 1) is a polynomial in the adjacency matrix $A$ of a graph $G$ ...,1
8005,Is it possible to perfuse chemicals into brain after removal from body?,0
11944,Complexity of a recursive bignum multiplication algorithm,0
2370,How to perform a discrete minimization for the multivariate quadratic function below?,1
10275,"How do I continue learning programming, beyond the basics?",0
11488,Ruby function to capitalize all words in a string,0
11129,Counting occurrences of a word in a file,0
2710,Newbie vector spaces question,1
9811,Resolving directory traversal,0
961,Calculating distribution of time until first event in a poisson process,1
9564,JUnit - Test whether object was persisted or not,0
6465,Spider identification: male black widow?,0
4557,What does the question mean by 'find all the possible values' of $\int_{\gamma}\frac{1}{z}$,1
1725,B-Spline basis function partition of unity,1
4342,Show that any gaussian integer is a unit or can be written as a finite product of primes.,1
4742,Convergence of the ratio of two sequences,1
4770,"Notation in Crank's ""The Mathematics of Diffusion""",1
3848,Are square root and log function really metrics ??,1
3742,"If $n,m \in \mathbb{N}$ then there are $c,d$ such that $cd = (m,n)$, $(c,d) = 1$ and $(m/c,n/d) = 1$.",1
2268,"$I(X,Z)=(-1)^{(\dim X) (\dim Z)}I(Z,X)$",1
9088,Finding exact matches from a 2D array,0
5669,Show that $\sum a_n$ diverges if $\sum \log (\tfrac{1}{1-a_n})$ diverges,1
8592,Evolution and different number of chromosoms? (a non-biologist),0
8425,Rate-determining steps in enzyme catalysed reactions,0
10529,Miller-Rabin Recursive Primality Test,0
8432,Does Alzheimer affect more than day-to-day memory?,0
11174,Generate form and append to the body,0
9352,Reading numbers from a file using map,0
7456,Why are adults so suceptible to dizziness?,0
10246,What is a contiguous subarray?,0
10204,"Are ""logarithm types"" a thing?",0
1558,Global sections of a proper ideal sheaf are 0,1
1160,Does this limit of measures exist?,1
430,Number of ways to put hat(s) in $5$ boxes.,1
8013,What's the difference between diuretic veggies and alcohol that make the latter bad?,0
2215,Base point of a line that intersects an ellipse,1
11894,Expectation of $u'^t v$ = $u^t v$,0
5726,Elementary product rule for Ito formula,1
9789,Finding number not in list with wildcards,0
2873,Tangent map between tangent spaces,1
9810,Simplify & Reduce steps in the IsDistinct function,0
3712,Uniqueness of matrix decomposition,1
10220,Relation between space and time complexity for machines with write once read many (WORM) memory,0
6518,Are there fungi that are directly beneficial for humans?,0
5035,Understanding fractional exponents,1
10266,Random unbalanced bipartite graphs are good small set expanders,0
6868,Are there examples of encryption in nature?,0
10782,Perfect Probabilistic Encryption still requires key length about as long as message,0
9312,Go - avoid result reassignement in OOP,0
11467,"How does $n^c \lg n, 0<c<1$ compare to other common time complexities",0
1147,Find the radius of convergence of two series,1
7394,What did the evolution of multicellular animals look like?,0
2959,Trace of matrix power,1
266,"Is ""locally of finite type"" affine-local on the source?",1
7477,Why do soap molecules not break down your skin cells when you wash your hands?,0
2202,What are some interesting and useful facts about Jordan canonical form?,1
10626,One variant of the Knapsack Problem,0
10864,What are the drawbacks of using an algorithm that is not backwards stable?,0
8740,Chromosome related problems.,0
7421,How to prove that pork meat has parasites,0
11384,Complexity of multiplication,0
8297,Would a colony with only one male and female collapse?,0
1313,Prove that $f$ is differentiable at $x \in E$ iff $f_i$ is differentiable at $x$ for every $1 \leq i \leq m$.,1
2843,Angle bisector divides the triangle into two triangles. Find the area of one of them.,1
7096,Why does asbestos cause cancer?,0
358,Understanding a proof from algebraic k-theory,1
3762,A convex function with a non-empty domain interior in a non-barreled locally convex space,1
4874,Fundamental group of a quotient on a solid torus.,1
10317,Counting Inversions with merge-sort,0
11527,FizzBuzz functional implementation,0
3572,Calculating an integral in $\mathbb{S}^1$,1
6792,How was the Huntington's disease gene's location found?,0
5612,Is there a function that is Riemann integrable but not monotonic and not piecewise continuous?,1
2502,How can I find the first occurrence of a number in Pascal's triangle?,1
11970,Django Unified Method for Deleting Instances of Any Model,0
4110,$\lim _{N \rightarrow \infty} \frac{1}{N} \sum_{n=1}^{N} z_{n}=0$,1
11137,"Flask web application, with handling for user login status",0
1444,topological spaces and some property verification,1
10750,Using fetch() and a new Promise object to get API results,0
19,Construction of Lakes of Wada,1
1010,Image of morphism from $\mathbb{A}^1 \to \mathbb{A}^2$ is closed,1
11214,Custom password hashing,0
1746,"calculate $\int_{0}^{i} e^z\, dz$",1
4827,Prove that the continuous function is ≠ ∅,1
6738,Origin of the 260/280 ratio?,0
10851,Remove duplicates from a sorted array,0
2337,Find projection vector on a plane,1
8299,Accuracy of genome size estimation by flow cytometry,0
11452,Is the worst-case of this algorithm equal to $\Theta(n)$ or $\Theta(n\lg n)$?,0
3606,Does the Gelfand transformation on $\ell^1(\mathbb Z)$ possess a continuous inverse on its image?,1
11800,Python Clean way to get whether a number is above/below two values and increment accordingly,0
6866,The size of the Triceratops specimen Lane in the Houston Museum of Natural Science,0
5921,Convergence for expectation,1
6532,Examples of striking/pedagogic large dataset analysis in biology,0
8610,How did ancient human deal with biting insects like mosquitos?,0
4860,Normal Operator surjective,1
1448,question about double sums,1
9211,Algorithm for difference of two semi-decidable languages,0
5961,Where can I find Linear Algebra in Nature?,1
8819,What does an allele frequency of 0 mean in gnomAD v3?,0
4724,Programs for graphing quadratic surfaces,1
3227,Formal Languages: Trouble understanding powers,1
7387,Where is coagulation factor v produced?,0
2558,Computing the irreducible characters of $S_n$ for cycles,1
10787,Simple IP address parser in C,0
945,Use Rouche's Theorem to determine the number of solutions of the following,1
11880,Custom MySQL duplicate_key update queries,0
7237,The position of the macula in comparison to the blind spot,0
4841,Prove that $(1 + z)^x \cdot (1+z)^y = (1+z)^{(x+y)}$ for formal power series,1
1188,Surjectivity of morphisms of smooth projective varieties,1
5180,Recursive solution to this combinatorial question,1
4956,Using GAP to compute the abelianization of a subgroup,1
4881,Prove that the dimension of the eigenspace corresponding to the eigenvalue $\lambda=1$ of $H$ is at least the number of the clusters..,1
158,find the limit of the sequence {$a_n$}?,1
1942,Asymptotic expansion for this two variables PDE,1
11341,Targeting specific elements with CSS only,0
9253,Filtering an array of objects,0
4569,When the linear operator is self-adjoint?,1
2197,Proof of the Existence of Bayesian Nash Equilibria,1
6267,Which patterns do I have to avoid when modifying the 3'-UTR?,0
910,$E(X)>E(Y)$ always imply that $P[X>Y]>0$,1
1011,Removing a max function in the constraints,1
3868,Why is the proof that $\sqrt2$ is irrational must $p$ and $q$ be coprime?,1
5862,Nonexistence of a continuous injection $f:S^2 \rightarrow \mathbb{R^2}$,1
5545,Compactness implies limit point compact,1
6892,Codon alignment via Python?,0
1237,On the definition of the Zariski Tangent space,1
7210,Can plants produce oxygen at night (without light)?,0
1424,Prove that the expected value of a negative binomial distribution is r/p.,1
11704,Inverse kinematics step,0
2238,Geometric meaning of symmetric connection,1
3012,Can anyone solve this hard differential equation involving a derivative squared?,1
10842,Are there any CS-trees named after flora-trees?,0
10620,Get element at a specific position in a string with separator,0
6138,What predates on cactus in the Atacama desert?,0
6281,Can methionine peptidase liberate selenomethionine?,0
2343,difference between divergence and partial differentiation of vectors,1
2970,"Network Theory: Laplacian, Incidence Matrix, or what else?",1
1857,Application of the monotone convergence theorem to a product measure,1
7482,Effect of the same caloric intake of different macronutrients on body weight,0
9184,Calculating reverse dependencies of a Debian package,0
7662,Can foraging worker ants become queens?,0
6620,Electrode locations for neuron study in stereo EEG?,0
11443,Chain of Responsibility design,0
8697,How does the placement of it's motor domain affect the directionality of a motor protein?,0
11758,Simple Math Quiz Game,0
2758,Calculate determinant of Vandermonde using specified steps.,1
5516,Explicit formula for nth derivative of $(2x^2+a)^b$,1
8915,Find protein homologs with BLASTp,0
304,How to find how many solutions of a second order ODE satisfy given initial conditions?,1
11318,HTML parsing algorithm for extracting  tags,0
256,first-order logic: Any finite set of first-order sentences true in all divisible abelian groups is true in some non-divisable one.,1
7948,"What is the common diet of food-related IBS patients? Besides most patients being lactose intolerant, what other intolerances do they face?",0
9477,Is this a correct use of the std::cout and std::cin basefields/conversions?,0
7690,Isoprenoid Diphosphate Concentration in Yeast saccharomyces cerevisiae,0
7744,Why can one swim longer underwater by blowing out air?,0
6837,Is local equilibrium a reasonable assumption for evolutionary processes?,0
10631,Properties of language that can be enumerated in a finite amount of time with an enumerator?,0
10724,linux rearange field and sort by column,0
5406,Definite integral with functions in the sides,1
1477,values of $a$ in inequality,1
64,Automorphisms of group extensions,1
4031,Implications from Characteristic Equation from Second Order Diffeq,1
1770,Understanding $\sigma$-algebra and power set,1
10828,Asking for a number in Java Swing,0
11197,Time complexity of a vertical sweep algorithm with histogram computations,0
5625,Specific differential equation,1
5648,"How to prove $\gcd(m, n) = \gcd(-m, n)?$",1
11770,How to exclude all points adjacent to a given point from the feasible region of IP,0
341,Examples of Pansu differentiable maps,1
1721,how to prove isometric vector space isomorphism,1
5520,"show that if $a$ and $b$ are relatively prime integers then $gcd(a+kb, b+ka)$ divides $k^2-1$",1
2109,Similar matrices - how do you find them?,1
3587,Is $\sqrt{2\sqrt[3]{3!\sqrt[4]{4!\sqrt[5]{5!..}}}}=2\log \pi$,1
10561,Python Turtle based Pong game,0
9641,Graph with exactly 2 Minimum Spanning Trees,0
2356,Third term of the asymptotic expansion of $u_n$ when $u_{n+1} = \sin(u_n)$,1
8667,Possibility of Human cloning,0
3067,Question sort of related to Cayley's theorem,1
1489,How to solve this integral: $ \int_{-1}^{1} \frac{x^4}{a^x+1}dx $?,1
792,Difference between the formula of Roger Cotes and Euler,1
5050,Angles spherical triangles,1
10311,Does a multi cpu system not improve the first come first serve (fcfs) cpu scheduling algorithm?,0
2265,Combinatorics. Find the number of ways....... Need Explanation,1
9751,Convert generic class into XML string of specific structure,0
9328,Function to produce unique random numbers,0
1586,The function $G: x \mapsto 2^{x^2}$ maps $\mathbb{R}$ onto $\{ x \in \mathbb{R} : x \geq 1 \}$,1
8996,How is a synapse held in place?,0
4931,Prove that $ \tan 20°\cdot \tan 40° \cdot \tan 60° \cdot \tan 80° = 3$,1
503,"Probability Distribution of Picking letters from the word ""PROBABILITY""",1
11687,Average Time Complexity of Searching An Array,0
5530,What is the solution to equation $\arccos\left(\frac{x-a}{x}\right) - \frac{a}{\sqrt{2xa - a^2}} = 0$?,1
10521,How to calculate time complexity of this problem?,0
2850,A generalization of the airplane seating puzzle,1
7767,Snake with red eyes and black skin found in a plant pot,0
4642,Show that $T$ contains at most two points,1
7519,Can oxygen diffuse out through the lungs?,0
7881,Is an Eidetic Memory (or other unusual forms of memory) less susceptible to anterograde amnesia?,0
710,Weak Operator Convergence Example,1
6982,What causes bacteria to change their proteins to become resistant to antibiotics?,0
11319,Number line jumping algorithm,0
5640,Demonstrating that a non-constant holomorphic function attains its maximum on the boundary of its region?,1
6795,Could we eradicate mosquitoes?,0
8628,Determination of gene direction,0
8404,Why does vitamin D need to be exogenous?,0
839,How to prove the double sum of combinations is $3^n$,1
