,question,target
6733,Why are blocking artifacts serious when there is fast motion in MPEG?,2
5176,Resources on DS and algos,2
6081,Shortest possible way of printing a specific board,2
7820,Counting the number of occurences - loop invariant,2
4458,Get K most frequent tokens from a token stream,2
9106,"Prove that for any point $p ∈ \Bbb RP_n$ , $\Bbb RP_n − p \simeq S^{n−1}$",0
4492,Calculate karma based on retweets,2
1602,What's the lowest temperature a tardigrade can remain active at?,1
11559,Find the sum $ 1 \cdot 1! + 2 \cdot 2! + 3 \cdot 3! + ... + n \cdot n! $,0
6978,VBA - faster way to list out files in a folder & subfolders,2
11437,Proving $\frac{1}{2}\left(e^{in\theta}-e^{-in\theta}\right) +\frac{1}{2}\left(e^{in\theta}+e^{-in\theta}\right)\\$,0
7939,Epilogue to a binary search to find the range of matching indexes,2
6966,"Order-of-growth of selection sort is quadratic, it takes 2secs to sort 100 elements, what will be the expected completion time to sort 200 elements?",2
6537,Generic Linked List Implementation in Java,2
11585,Methods to solve $\int_{0}^{\infty} x^{n}\cos(x)\:dx$,0
5825,Reverse Groups challenge at CodeEval.com,2
3867,How does one apply Bayesian inference to quantify a read the deeper you sequence?,1
5358,Looping through a tree to get branch or leaf,2
11945,Which theorem states that a number N can't be perfectly divided by a number greater that N/2 ?,0
1005,In the vacuum of space would death be instantaneous?,1
11746,Multiplicity of imaginary roots of real polynomial,0
6568,Convex hull in a discrete space,2
7896,Why maximum-matching algorithm falls into the category of fill-reducing algorithms?,2
2074,Are surface area or volume conserved during cell division?,1
964,Can mRNA vaccine have flaws and generate the wrong spike protein?,1
8012,Probability of selecting specific balls from an urn?,0
335,What are different firing rates in different regions in the human brain?,1
5554,Testing whether pages can be fetched from two ports,2
2740,Altruism in viscous (asexual) populations,1
10566,Basis for JNF and matrix relationship for this basis,0
9014,Application of forcing to first-order properties of rings,0
8376,Finding the general solution to a second order differential equation,0
7047,Designing a scheduling algorithm,2
8105,strong deformation retract question,0
4831,Java %= and general feedback,2
1893,Do You Need Vitamin B12 To Utilize Folate,1
630,Why does gaining a hydrogen in biology considered reducing a molecule?,1
5961,Locating the Bash history file for a user,2
2697,Why does the liver produce ketone bodies instead of exporting acetyl-CoA from beta-oxidation for use elsewhere?,1
1404,Why can't my body deal with cold-sores,1
8408,Interpreting this wikipedia arc length definition,0
2802,Why do plants produce so much more sugar than they use?,1
8402,Identical transformation about integrals,0
1156,Why do some vaccines lose their efficacy with time?,1
8787,Direct sum decomposition of $l_2$,0
