,question,target
17318,I need help identifying a bug,0
4239,Memory of finite automata,1
15105,What is the function of Xylem parenchyma?,0
2889,In Pollard p-1 how is the bound B chosen?,1
1895,Relationship between random and non random variables.,1
6799,Legendre polynomials and inner product,1
21488,Transform values of hash functions like MD5 into numbers,0
9676,Finding transition matrix between two bases of $V$,1
23179,Project Euler 378: Count ordered triplets whose triangular numbers have decreasing number of factors,0
8492,$W(s)[W(t)-W(s)]$ Independence for Brownian Motion,1
23766,Why the universal Turing machine simulation in O(TlogT) cannot be applied to transform multi-taped Turing machine into single-taped?,0
4541,$f$ is absolutely continuous implies that $f$ is continuous,1
2842,Equality regarding $\vartheta$-functions using Poisson Summation,1
5884,Need a recommendation for a calculus book with a particular content structure,1
17330,New infectious diseases appear mainly as a result of chance mutations in pathogen genomes?,0
3706,"With the characteristic equation, how do I get this solution?",1
5720,Proportion population dynamics,1
20052,Angular Typescript Async queue service,0
9180,This property of of measurable sets and functions.,1
20091,Keeping track of people's relationships using a people relation table,0
13845,When does a jalapeño begin to produce heat/capsaicin?,0
95,Modified cantor set can be identified with binary sequences,1
2547,Finding the confidence level and number of successes?,1
6705,Projection of oblique segment onto another,1
9513,Two polynomials that touch (but don't cross) have the same gradient at that point?,1
413,Riemann mapping theorem - Personal project,1
23565,"If $M$ recognizes an infinite language, then $M$ has a cycle",0
3731,"Eigenspace, Diagonalizable, Direct Sum",1
3172,"Proving that X,Y,Z in Quadrangle is collinear using axiom P5",1
1689,Constrained optimization set up with at least one value constraint,1
15255,What is the trigger of pollen tube formation when the pollen is on the stigma?,0
563,No advantage to the closed form for Fibonacci numbers?,1
19847,How many bits are needed? Advantages/disatvantages of this configuration?,0
14003,What model of epistasis best fit the reality?,0
1407,"$n \cdot \text{lcm}(a,b,2016) = ab-2016$",1
5391,In what fields would you like to see applications of mathematics?,1
58,How to prove the result of summing the divergent asymptotic sum for $H_n$?,1
5293,Which is the actual surface of a Möbius strip?,1
15533,What fraction of sites are expected to be polymorphic?,0
7301,Fun Q6: Side length of the pentagon in a five sided star?,1
166,When convolution of two functions has compact support?,1
7763,How to solve this using power series method $\left(x^2+2\right)y''\:+\:xy'\:-\:y=0$,1
15026,"Why does strenous exercise cause vision of ""lights""?",0
12350,Open access datasets for QTL analysis?,0
12382,Can you find the amount of heterozygotes in a pop. from the phenotypes shown in the pop,0
21473,Texture loading in LWJGL 3,0
8995,Fourier analysis convergence argument help,1
22210,Removing duplicates from a linked list without a buffer,0
23419,LINQish command line parser,0
21309,Removing checks that are only necessary on first pass,0
6969,Equivalence of ample divisor,1
16085,Is this spider venomous?,0
7249,proving that a function exits with derivative of $\cos(1/x)$,1
12609,Moss CO2 consumption,0
4581,Card-related question on standard deviation,1
9877,System of non-lineair equations,1
15761,Electroporation of one-cell embryo?,0
10220,Uniform structure induced by a mapping from its codomain to its domain?,1
8464,$2 \times 2$ matrix: find the eigenvectors and eigenvalues,1
18703,Big-O notation for the given function whose runtime complexity grows faster than the input,0
208,Some Logo and Stamp on Mathematics and Mathematicians,1
7571,Finite Difference Spacing of Points for PDE's for Convergence of Explicit Forward-Stepping Scheme,1
2081,Notation $K^+$ where $K$ is a cone,1
11223,Number of zeros of $1-e^{z^k}$ in the complex plane.,1
8886,Conditional probability percentage problem,1
610,diagonalizable matrix,1
11414,Boundedness of functions,1
6441,The number of word groups possible by taking at least $4$ letters from $3$ words,1
1478,Flow and flow rate... Halp!,1
10669,Inverting a generator matrix - Coding Theory,1
4994,How many increasing maps from $\mathbb N_n^*$ to $\mathbb N_p^*$ do exist?,1
8642,How to tell whether a differential equation is linear or non-linear when it can be expressed in both forms?,1
19233,Relation between RAM and Turing machine,0
13801,Why does ionizing radiation cause only DNA double strand breaks?,0
3741,Prime inert in each subfields never occurs,1
23429,Python rsync to copy the logs from multiple remote servers,0
11690,LCM of binomial coefficients and related functions,1
8916,extrema of step function.,1
14594,What are the characteristic structures of bacillus M. tuberculosis and what they cause?,0
5556,Estimate for $\sum_{q=1}^{M}\frac{\varphi(q)}{q^{2}}$ Related to Bourgain Paper,1
6063,Question on AP Stats variance and standard deviation,1
2715,How high can a loose rope around a circle pulled above ground,1
4741,Central limit theorem for weighted average,1
11192,"Find the surface satisfying $r+s=0$, touching $z=4x^2+y^2$ along its section by the plane $y=2x+1$",1
23621,A question about the definition of PRFs,0
18444,MAXSAT approximation,0
14859,Is it possible to produce bread using only microorganisms?,0
18249,Finding a graph where the edge set satisfies a set of integer equations,0
5734,geometry question regarding the adjustable angle of a climbing wall and how to lower the overall height,1
9550,Cantor ternary sets problem,1
6017,Question on permutation,1
8478,Can $\sum_1^n 1/k$ be arranged so that it is an integer for infinitely many $n?$,1
22697,Prove $L =\{0^{2^n}\mid n \geqslant 0\}$ is not context free,0
7775,Multinomial Coefficient Estimate,1
16680,Is fever a disease or not?,0
8810,Compact element in a C$^*$-algebra?,1
16871,DNA to Binary Distance Computation,0
4903,Measurable functions on a $\sigma$-algebra generated by a collection of mappings,1
14655,Acetylcholine and muscles- excitatory or inhibitory? (muscle atonia and myasthenia gravis),0
20115,Single Linked List Implementation in Ruby,0
3593,What are the coordinates of the intersection points of two circles?,1
19467,Game loop decorator for Pygame,0
2145,Equivalent statement of AC or not?,1
4114,Approximate integral of a function with points in the range,1
11597,"Increasing, continuous function implies connectivity and viceversa.",1
6933,Proving a geometric inequality without Lagrange multipliers,1
22767,Why can't OSes swap out processes that are waiting for I/O?,0
22894,Copying orders and prices into another Excel sheet,0
11030,"If $W$,$V$ are open sets and $Z$ is dense, then $\overline{W}\cap Z\subseteq V\implies \overline{W}\subseteq\overline{V}$",1
12485,Hiding identical sequences in NCBI web interface,0
1226,Which propositions are true?,1
21871,Kolmogorov complexity of a sequence of prime numbers,0
1797,How to show that the limit of a fibonacci sequence equates to 1 as n goes to infinity,1
1013,Confidence interval for difference confidence level,1
19135,Retain previous values in Label,0
1452,"If $((X,\leq),(Y,\leq),f,g)$ is a Galois connection, show that f is a morphism/monotone from $(X,\leq)$ to $(Y,\leq)$",1
14317,How To Avoid Macro-Evolution Confusion?,0
4603,Determining the algebraic structure of $\Bbb Z_n$,1
323,Bayesian Network misunderstanding,1
8879,Notation about factors,1
11047,How to show $\sum_{i=n+1}^\infty |a_i| < \epsilon$?,1
23925,Does input space size contribute at all to the runtime of an algorithm?,0
2435,Is $dv$ only approximate of $(dv/dx)dx$?,1
14971,Problems interpreting gram stain slide,0
13597,Why is beta actin commonly used as a control in Western blots?,0
15312,Why are truncations in Receptor Tyrosine Kinases so sommon in transformations?,0
13462,"If women need more dietary iron than men, then do blood donors also?",0
19966,What mathematics can be interesting for these CS areas?,0
12489,Could the growth rates of Vibrio vulnificus be affected by an oil spill?,0
22712,LRU algorithm implementation,0
15542,Are mature trees as susceptible to mutation from exposure to radiation as seedlings?,0
6325,Solving $ \int{ \frac{1}{(x-1)^{3/2}x^{1/2}} dx } $ without trig identities?,1
20117,Is there a language that can be Turing-reduced from all languages?,0
9076,Is it possible to find this limit,1
16042,Is the fixation rate always equal to the mutation rate for neutral alleles?,0
11693,How to convert 3 variable quadratic form into a sum of squares?,1
5018,"What's ""$\mathbb Z = (1)$ is cyclic""?",1
2485,"Let $u = (2, 3, 1)$, $v = (1, 3, 0)$, and $w = (2, -3, 3)$",1
1017,"Abelian group - set $G$ of all complex roots of $1$, of all possible orders",1
2420,Uniquely determining linear operators on finite field extensions,1
2574,Joint probabilities given three variables,1
11592,Spectral decomposition of the resolvent map,1
5130,How to find the trigonometric identities?,1
126,"In a normed vector space, does $x+r\Gamma = x'+r'\Gamma$ imply $x=x',r=r'$?",1
20016,Authority section in DNS packet always contains NS records?,0
4336,Limit of a function with different initial values,1
2149,"""Squeezing lemma"" for tubolar neighborhoods",1
18762,Improving rendering of JOGL,0
10404,show how equation (1) is re-expressed as equation (2),1
20240,"If P=NP, which two languages are NOT NP-complete?",0
16395,Anaerobic nutrient expenditure,0
23260,Variation of omega definition,0
22924,Proving asymptotic bounds,0
14605,What is the term for all of the RNA in a cell at any given time?,0
9,Question concerning an application of Cauchy-Schwarz,1
19015,"Solving $T(n)=2T(n/2) + n \lg n$ , For ex: Counting inversions implemented with full mergesort",0
182,Infinite sum evaluation-square root,1
23509,Recursive time formatter,0
14704,Hardy Weinberg Equilibrium problem,0
15149,Can elephants smell when they have water in their trunks?,0
19955,Class-Definition Comparison,0
10851,Is $G\cong \mathbb{C} \setminus \{0\}$ under complex multiplication ?yes/no,1
15167,Bird identification from Nepal,0
15289,Some sort of Lymantriidae caterpillar?,0
14361,"In the lysogenic cycle, does the provirus split from the cell's main genetic material for replication?",0
16605,Have Polyphyodonts ever evolved from Diphyodonts?,0
17717,When do the first neurons appear in humans?,0
19593,Multiple for loops in Sudoku solver,0
20422,Reverse Polish to infix,0
18458,Reading Values From Enviromental Monitor XML Feed,0
18856,Big theta notation in substitution proofs for recurrences,0
14313,How do I look for pathogen in water with a microscope? Is it possible?,0
2588,Using connectedness to show that $\mathbb{R}^n$ is not homeomorphic to $\mathbb{R}$,1
