,question,target
4717,How many calories do gut bacteria burn?,0
1009,Find the Lipschitz constant for the following function,0
4173,Which cells are responsible for the extracellular matrix remodeling?,0
10060,Simple image capture program,1
7815,2-dimensional ranking of multiple arrays,1
3578,"Why ""Having chlorophyll without photosynthesis is actually very dangerous"" and ""like living with a bomb""?",0
10258,Turn-based game setting properties for playcards,1
5398,"This strange looking thing was on the leaf, can you identify what this is?",0
1458,understanding orthogonal decomposition theorem,0
835,Limit of Maxvalue function,0
7085,"How to show that if a relativized PH collapses, then PH collapses itself",1
10416,Why is universal turing machine considered with only one head?,1
8466,Script that fixes YML SIDs to be simplified for production,1
1808,Showing that $A= \{x=(x_n)_{n \in \mathbb{N}} \in E \mid 0 \leq x_n \leq a_n \}$ is a closed set.,0
7750,Normal Order Reduction - is Leftmost Outermost order simply Leftmost?,1
7072,Characters set permutations with repetitions,1
4576,Can the human eye axial length decrease?,0
11916,Creating a generic notification service,1
2005,Does 'a graph is a DAG $\iff$ there exists a topological sorting' hold for graphs with a non-finite number of nodes?,0
5944,Purpose of antibody wash,0
8370,Functional coffee dispenser,1
4275,"Besides hemoglobin, what proteins are present in red blood cells?",0
5488,How do rodenticides with delayed effect work?,0
5129,"Is there a color changing organism that is by default translucent or otherwise ""colorless""?",0
8710,Managing a wish list from an API,1
3811,Can certain jellyfish photosynthesize in the medusa stage?,0
6961,LeetCode: FloodFill Rust,1
3564,What is the name of this tiny spider?,0
465,How to do partial fraction decomposition with exponentials,0
10557,The Blacklist: Blocking Malicious domains using Bash,1
7725,Turing machine that recognizes the language $\{a^{n}b^{2n}c^{3n}|\ n\ge0\}$,1
10342,Custom event trigger and listener module,1
10742,Django Custom Decorator for user group check,1
10770,Was it known that $\mathsf{LTIME \subsetneq NLTIME}$?,1
9848,"What does it mean that numbers are ""totally ordered"", in the Paxos Made Simple paper?",1
9742,OOP Web scraper using regex to grab tag contents,1
8268,Will multi-threading or other method make my program run faster?,1
3088,How are single-stranded binding proteins removed from the lagging strand during DNA replication?,0
11669,Find vectors with elements of finite fields that sum up to given value,1
2592,A neighborhood of a connected subset is connected.,0
2425,Let $a$ and $b$ be positive integers such that $ab + 1$ divides $a^2 + b^2$. Show that $(a^2 + b^2)/(ab + 1)$ is a perfect square.,0
4529,How is the activation energy lowered in an enzyme by just orientating the reactants closer to one another?,0
2432,The importance of being real,0
5174,What is the purpose of an siRNA screen in drug discovery?,0
3352,Why is this the equation for the fitness of cooperators?,0
1456,Possible mathematical finishes to the darts game 501,0
4246,Identifying whether amino acids are hydrophobic or hydrophillic,0
4204,What is a good book to start with if I'm interested in Gene clustering analysis?,0
7558,Comparing two implementations of smoosh(),1
7160,API using NodeJS to recive data from client and send it to a server,1
6430,ReactJS Formik form with list update,1
2013,"distinct complex embeddings of a Kleinian group, and Mostow-Prasad rigidity",0
8215,Acceptable Use of the goto Statement?,1
5894,Why Lungs can't work in water and gills can't work in air?,0
11726,Table Driven Test in Java using Junit4,1
3789,"Are fruiting bodies, basidiocarps, heterokaryotic?",0
8873,Extract Students with All Enrolments in the Past,1
3810,Why is dimethyltryptamine (DMT) being released during death?,0
9712,Draw polygons with increasing/decreasing vertices,1
4220,Why does bacillus thuringiensis produce bt toxin?,0
518,Is there a way to integrate $\int \frac{1}{f'(x)}dx$?,0
11035,Convert number from one radix to another,1
4266,What do we mean by MHC molecule diversity? Does each human have a variety of MHC molecule isoforms?,0
868,When does the equality hold in the convex function?,0
4782,Does evolution produce organisms perfectly adapted to their environment?,0
3312,Do people with congenital analgesia feel cold?,0
5467,$F_{ST}$ and the genetic variance in metapopulations,0
7147,Checking whether one string is a permutation of another,1
1394,Prove that a set is compact with respect to a different metric in $\mathbb{R}$,0
8959,"Program for entering 1000 random numbers into two different databases, one for odd numbers and one for even",1
6266,"Command Pattern with Undo , returning response in Invoker and Command class or Callback?",1
1477,Try to give a description of $Q/ \sim$.,0
8202,Architecture for manager that gets shared among different components,1
4626,Polar bodies fertilization,0
