,question,target
10717,Printing a huge document,0
1009,Find the Lipschitz constant for the following function,0
10173,"Script to calculate width, and either resize, show, or hide HTML menu",0
7060,Predators on the Galapagos,1
4815,Use numbers or algebra when introducing an evolutionary biology concept?,1
9578,Liveupdate phone number forms and test for international numbers,0
7258,"How are primary monoclonal antibodies for screening mutant cells made, physically?",1
11398,Splitting a command line into key/value pairs,0
1458,understanding orthogonal decomposition theorem,0
835,Limit of Maxvalue function,0
4085,Can a protein falling below a threshold trigger another response?,1
7416,"EGFR, sialylation, and cancer progression",1
5466,Histidine aromaticity,1
1808,Showing that $A= \{x=(x_n)_{n \in \mathbb{N}} \in E \mid 0 \leq x_n \leq a_n \}$ is a closed set.,0
4750,How would inserting a nonfunctional protein impact fitness of an organism?,1
4072,Can elements of one's environment act directly as hormones?,1
10576,Dynamically create a table of input fields,0
8916,How semi-synthetic cell with artificial DNA works,1
2005,Does 'a graph is a DAG $\iff$ there exists a topological sorting' hold for graphs with a non-finite number of nodes?,0
11944,Graph problem known to be $NP$-complete only under Cook reduction,0
5370,Does some form of self organizing map exist in the brain?,1
10275,Randomized and deterministic reduction,0
11488,"Hover effects for red, blue, and green boxes",0
11129,What would be the best way to update data from associative array?,0
5710,"How do traits with no negative effects get ""weeded out"" via evolution?",1
9811,Adding/removing map values: unsymmetric implementation,0
3961,Analysing the results of real-time PCR,1
9564,Roughly removing 'duplicate' photos based on filename,0
465,How to do partial fraction decomposition with exponentials,0
7557,Do two compatible tRNA codons bond together?,1
4725,"If species are reproductively isolated, then how are interspecific hybridisations carried out?",1
7342,How is instinctual information encoded?,1
7742,Do low light levels during development affect the distribution of rods and cones in the retina?,1
7770,What could live inside a pillow?,1
6848,How does sunlight affect the longevity of SARS-CoV-2 on surface?,1
6742,Solving a Pedigree Between Heterozygous Half-Cousins,1
5268,Why is beta- D fructofuranose two different structures when in free form and as part of sucrose?,1
9088,Encrypting/decrypting messages in java,0
8669,Why did abiogenesis only happen once?,1
2592,A neighborhood of a connected subset is connected.,0
2425,Let $a$ and $b$ be positive integers such that $ab + 1$ divides $a^2 + b^2$. Show that $(a^2 + b^2)/(ab + 1)$ is a perfect square.,0
10529,Simple text DataBase,0
2432,The importance of being real,0
11174,Assigning database credentials,0
9352,"How to prove the optimality of the ""patience sort"" algorithm?",0
1456,Possible mathematical finishes to the darts game 501,0
10246,Handling pagination on a particular page,0
10204,Procedural style Rock Paper Scissors game using Python 3,0
4558,Folding of bulliform cells,1
4160,Getting read size less then specified in parameter file Flux Simulation,1
3430,Why use RRBS (reduced representation bisulfite sequencing) instead of general BiSeq?,1
2013,"distinct complex embeddings of a Kleinian group, and Mostow-Prasad rigidity",0
5215,What are unmapped reads?,1
11894,Applying Akra–Bazzi with an unbounded number of summands,0
8726,Spatial resolutions in optical microscopy,1
9789,How to turing reduce equivalent languages $Q$ to infinite language $I$,0
5873,Two mice heterozygote and black are reproduced. Find the probability of getting the filium dark and heterozygote,1
9810,Calculate mean of vector primitive numerical values generically,0
6712,What are treatable foetal conditions during pregnancy?,1
10220,Need of reducing problems if we already know that a problem is undecidable,0
518,Is there a way to integrate $\int \frac{1}{f'(x)}dx$?,0
8035,Why eyebrow growth stopped after it has specific length?,1
10266,Does every large enough string have repeats?,0
868,When does the equality hold in the convex function?,0
10782,Why Does The Division Alorithim Need [Register Size] + 1 Iterations,0
9312,Write a function to print numbers,0
11467,Peak finding algorithm,0
4147,Purifying a linear plasmid after restriction digest?,1
1394,Prove that a set is compact with respect to a different metric in $\mathbb{R}$,0
5959,What is variation in Speciation,1
3266,Transcranial Magnetic Stimulation on science fair,1
