,question,target
10717,How to make Map expendible(?) safely in java,0
1009,"Is there an easy way to get to a paper, given a citation?",0
10173,Complexity of ODD-SMALLER-SAT,0
7060,How high into the air are spores of molds commonly occurring?,1
4815,Is it possible to grow any kind of plant soilless (hydroponics)?,1
9578,Modified Fibonacci Implementation,0
7258,What is this insect? 6 legs and black spots,1
11398,Search in a sorted array (Binary search),0
1458,Why is $F[x]/(x^n)$ a local ring?,0
835,Discriminant formula issue,0
4085,Can yeast survive without mitochondria?,1
7416,Where can I find histograms and tables of prevalence of mutations in cancer?,1
5466,What is the difference between a polysaccharide and a macromolecule?,1
1808,"Diffusion/Heat equation, weak maximum principle",0
4750,Geographic regions as subpopulations/demes,1
4072,Questions about what a productive cough actually is and where it comes from,1
10576,Generating intermediate code,0
8916,Using punnett squares to express sex/gene linkage and recombination frequency,1
2005,Is the solution wrong?,0
11944,Complexity of a recursive bignum multiplication algorithm,0
5370,Hardy Weinberg Equilibrium after 5 Generations,1
10275,"How do I continue learning programming, beyond the basics?",0
11488,Ruby function to capitalize all words in a string,0
11129,Counting occurrences of a word in a file,0
5710,How does membrane potential vary between intraceullar membranes and the cellular membrane?,1
9811,Resolving directory traversal,0
3961,Variance components and heritability,1
9564,JUnit - Test whether object was persisted or not,0
465,Math symbol for positive correlation,0
7557,Is it possible for a person to eat so many carrots that one turns orange?,1
4725,How does alternative splicing work?,1
7342,Can Dpn1 digest hybrid PCR product with only one methylated strand?,1
7742,Exocrine system + endocrine system =?,1
7770,Can elementary alternative splicing events be combined in more complex events?,1
6848,Can anyone identify this garden orb weaver spider?,1
6742,What is a simple protocol for staining cells in suspension?,1
5268,How does allele dominance work in polyploid organisms?,1
9088,Finding exact matches from a 2D array,0
8669,"Why do Mangoes have a single large seed, and not multiple small ones?",1
2592,Radius of convergence of power series where power increases by increments of 2,0
2425,Proving that product of 2 pgfs is a pgf - last obstacle,0
10529,Miller-Rabin Recursive Primality Test,0
2432,A question about the definition of group $C^\ast$-algebra,0
11174,Generate form and append to the body,0
9352,Reading numbers from a file using map,0
1456,The Correlation of two Random Variables,0
10246,What is a contiguous subarray?,0
10204,"Are ""logarithm types"" a thing?",0
4558,how to quantify toxicity,1
4160,How do plants benefit from their seeds being buried?,1
3430,How does bath application of KCl depolarize a neuron?,1
2013,Find sum of all possible value of $(a+b)^2$,0
5215,Why is the internal capsule dark in this transverse section of the brain?,1
11894,Expectation of $u'^t v$ = $u^t v$,0
8726,"How, when, and where did the very first life in the universe exist/formed",1
9789,Finding number not in list with wildcards,0
5873,How and why did mammals go back to the oceans?,1
9810,Simplify & Reduce steps in the IsDistinct function,0
6712,What pattern can be learned from the data of RNA seq counts and HiC matrix?,1
10220,Relation between space and time complexity for machines with write once read many (WORM) memory,0
518,adjoining root of an irreducible polynomial.,0
8035,How can we smell odor direction if we breathe through one nostril at a time?,1
